arm,sigma,spp,seed,mean,centre
mits_analog,6.000,4096,1,1.000000,1.000000
mits_analog,6.000,4096,2,1.000000,1.000000
mits_analog,6.000,4096,3,1.000000,1.000000
mits_analog,6.000,4096,4,1.000000,1.000000
mits_analog,6.000,4096,5,1.000000,1.000000
mits_analog,6.000,4096,6,1.000000,1.000000
mits_analog,6.000,4096,7,1.000000,1.000000
mits_nee,12.000,64,0,1.049093,1.307439
mits_nee,12.000,64,1,1.049361,1.308920
mits_nee,12.000,64,2,1.049267,1.308304
mits_nee,12.000,64,3,1.049166,1.309618
mits_nee,12.000,64,4,1.049503,1.311948
mits_nee,12.000,64,5,1.049214,1.310010
mits_nee,12.000,64,6,1.049431,1.310683
mits_nee,12.000,64,7,1.049268,1.310400
mits_nee,12.000,256,0,1.049381,1.310492
mits_nee,12.000,256,1,1.049237,1.309465
mits_nee,12.000,256,2,1.049275,1.309561
mits_nee,12.000,256,3,1.049245,1.309303
mits_nee,12.000,256,4,1.049262,1.308999
mits_nee,12.000,256,5,1.049290,1.309124
mits_nee,12.000,256,6,1.049244,1.309689
mits_nee,12.000,256,7,1.049222,1.309139
mits_nee,12.000,1024,0,1.049304,1.309610
mits_nee,12.000,1024,1,1.049294,1.309403
mits_nee,12.000,1024,2,1.049264,1.309764
mits_nee,12.000,1024,3,1.049281,1.309314
mits_nee,12.000,1024,4,1.049237,1.309297
mits_nee,12.000,1024,5,1.049252,1.309375
mits_nee,12.000,1024,6,1.049292,1.309673
mits_nee,12.000,1024,7,1.049245,1.309062
mits_nee,12.000,4096,0,1.049281,1.309549
mits_nee,12.000,4096,1,1.049278,1.309561
mits_nee,12.000,4096,2,1.049264,1.309347
mits_nee,12.000,4096,3,1.049302,1.309790
mits_nee,12.000,4096,4,1.049294,1.309600
mits_nee,12.000,4096,5,1.049290,1.309444
mits_nee,12.000,4096,6,1.049304,1.309808
mits_nee,12.000,4096,7,1.049271,1.309425
mits_analog,12.000,64,0,1.000000,1.000000
mits_analog,12.000,64,1,1.000000,1.000000
mits_analog,12.000,64,2,1.000000,1.000000
mits_analog,12.000,64,3,1.000000,1.000000
mits_analog,12.000,64,4,1.000000,1.000000
mits_analog,12.000,64,5,1.000000,1.000000
mits_analog,12.000,64,6,1.000000,1.000000
mits_analog,12.000,64,7,1.000000,1.000000
mits_analog,12.000,256,0,1.000000,1.000000
mits_analog,12.000,256,1,1.000000,1.000000
mits_analog,12.000,256,2,1.000000,1.000000
mits_analog,12.000,256,3,1.000000,1.000000
mits_analog,12.000,256,4,1.000000,1.000000
mits_analog,12.000,256,5,1.000000,1.000000
mits_analog,12.000,256,6,1.000000,1.000000
mits_analog,12.000,256,7,1.000000,1.000000
mits_analog,12.000,1024,0,1.000000,1.000000
mits_analog,12.000,1024,1,1.000000,1.000000
mits_analog,12.000,1024,2,1.000000,1.000000
mits_analog,12.000,1024,3,1.000000,1.000000
mits_analog,12.000,1024,4,1.000000,1.000000
mits_analog,12.000,1024,5,1.000000,1.000000
mits_analog,12.000,1024,6,1.000000,1.000000
