env,w,h,max_lum,mean_lum,peak_ratio,top01pct_energy
white_constant.hdr,16,16,1.0,1.0,1.0,0.0060965725630040095
ferndale_studio_01_4k.hdr,4096,2048,514.8768,0.9555660262125455,538.8186539456108,0.3968536600377095
meadow_2_4k.hdr,4096,2048,147346.84159999999,0.9634851935794192,152931.09077535017,0.7813042050642987
